N;Bits_n;Qubits_Simulado;Memoria_Simulado_MB;Memoria_Simulado_Legible;Qubits_Estandar;Memoria_Estandar_MB;Memoria_Estandar_Legible
15;4;12;0.0625;64.00 KB;21;32.0;32.00 MB
21;5;15;0.5;512.00 KB;26;1024.0;1.00 GB
35;6;18;4.0;4.00 MB;31;32768.0;32.00 GB
39;6;18;4.0;4.00 MB;31;32768.0;32.00 GB
51;6;18;4.0;4.00 MB;31;32768.0;32.00 GB
55;6;18;4.0;4.00 MB;31;32768.0;32.00 GB
65;7;21;32.0;32.00 MB;36;1048576.0;1.00 TB
69;7;21;32.0;32.00 MB;36;1048576.0;1.00 TB
77;7;21;32.0;32.00 MB;36;1048576.0;1.00 TB
85;7;21;32.0;32.00 MB;36;1048576.0;1.00 TB
87;7;21;32.0;32.00 MB;36;1048576.0;1.00 TB
91;7;21;32.0;32.00 MB;36;1048576.0;1.00 TB
111;7;21;32.0;32.00 MB;36;1048576.0;1.00 TB
115;7;21;32.0;32.00 MB;36;1048576.0;1.00 TB
119;7;21;32.0;32.00 MB;36;1048576.0;1.00 TB
123;7;21;32.0;32.00 MB;36;1048576.0;1.00 TB
129;8;24;256.0;256.00 MB;41;33554432.0;32.00 TB
155;8;24;256.0;256.00 MB;41;33554432.0;32.00 TB
159;8;24;256.0;256.00 MB;41;33554432.0;32.00 TB
161;8;24;256.0;256.00 MB;41;33554432.0;32.00 TB
177;8;24;256.0;256.00 MB;41;33554432.0;32.00 TB
183;8;24;256.0;256.00 MB;41;33554432.0;32.00 TB
213;8;24;256.0;256.00 MB;41;33554432.0;32.00 TB
215;8;24;256.0;256.00 MB;41;33554432.0;32.00 TB
217;8;24;256.0;256.00 MB;41;33554432.0;32.00 TB
219;8;24;256.0;256.00 MB;41;33554432.0;32.00 TB
221;8;24;256.0;256.00 MB;41;33554432.0;32.00 TB
377;9;27;2048.0;2.00 GB;46;1073741824.0;1.00 PB
391;9;27;2048.0;2.00 GB;46;1073741824.0;1.00 PB
437;9;27;2048.0;2.00 GB;46;1073741824.0;1.00 PB
481;9;27;2048.0;2.00 GB;46;1073741824.0;1.00 PB
493;9;27;2048.0;2.00 GB;46;1073741824.0;1.00 PB
2279;12;36;1048576.0;1.00 TB;61;35184372088832.0;32.00 EB
2491;12;36;1048576.0;1.00 TB;61;35184372088832.0;32.00 EB
2501;12;36;1048576.0;1.00 TB;61;35184372088832.0;32.00 EB
2537;12;36;1048576.0;1.00 TB;61;35184372088832.0;32.00 EB
2623;12;36;1048576.0;1.00 TB;61;35184372088832.0;32.00 EB
